	mean	se_mean	sd	X2.5.	X25.	X50.	X75.	X97.5.	n_eff	Rhat
mu_[1]	-2.53085232087544	0.00499896150504711	0.124947196676764	-2.79167827254558	-2.60967710511633	-2.52524989474765	-2.44257034486959	-2.30485623204765	624.731563575338	1.00416873804116
mu_[2]	-0.35	0	0	-0.35	-0.35	-0.35	-0.35	-0.35	2.00085751036151	0.999714244886293
bet_[1]	0.0301716799551996	0.00185014062733584	0.0665595895944584	-0.0933734612424824	-0.0159949837119923	0.0289263543181823	0.0745561093769293	0.165752644690301	1294.23097900545	1.00092449461383
bet_[2]	-0.103952640440819	0.00226980700212039	0.0724027755314766	-0.240604100380528	-0.153997485097674	-0.105988222740938	-0.0555119542949358	0.0431284836019948	1017.49566399838	1.00161074428882
bet_[3]	-0.169243420746609	0.00290916075650808	0.0919503634610581	-0.342362080011364	-0.233631398733817	-0.171883042412873	-0.10725689973666	0.0161987137349515	999.013735879719	1.00162178479563
kappa_[1]	-0.0983762848696112	0.0222872093879066	0.473691886432253	-0.806262639389044	-0.187849615611841	-0.0768147285268254	0.0251967032713422	0.602606067535299	451.731635029951	1.00409897458217
kappa_[2]	0.95806853656906	0.0117016294578572	0.596606004145126	-0.142884065892055	0.780604811148825	0.93734135269849	1.10812745314153	2.24263584761404	2599.45651097189	1.0028343850382
lambda_[1]	0.431083654382728	0.0251823163179122	0.706237729718686	0.0510683754928185	0.119899698245521	0.2137238431871	0.435583670652833	2.28374286889772	786.521286815949	1.00869969878695
lambda_[2]	0.704457833933158	0.016160998494099	0.893610049537602	0.125746518286645	0.246918692635336	0.40595332865709	0.772165959770495	3.32877930105466	3057.45243087456	1.0012399704063
psi_	0.641163315098809	0.00166838538367225	0.0425992595992424	0.563109763253688	0.61174945382331	0.639062993174657	0.668211927281715	0.73012512649539	651.945585365942	1.0024281690437
sigma_[1]	0.33558189677606	0.00284868894163741	0.097251573109192	0.161623043714163	0.266969365528476	0.330520971791593	0.398582752883686	0.536755981070397	1165.47566717633	1.00221516904941
sigma_[2]	0.699753671961396	0.0022211633101909	0.0729761003696516	0.564200071228374	0.64977918642938	0.696486548553755	0.7472174336094	0.847125844724516	1079.44451109613	1.00105050300476
eta_[1]	0	NA	0	0	0	0	0	0	NA	NA
eta_[2]	-2.522879	0	0	-2.522879	-2.522879	-2.522879	-2.522879	-2.522879	2.00085751036151	0.999714244886293
eta_[3]	-1.55844114506217	0.00362629761539043	0.267594204190474	-2.10916603009668	-1.73811652155738	-1.54469413452679	-1.36818262945397	-1.07320410071992	5445.3589978028	1.00021061986844
eta_[4]	0.343152275326902	0.00336279868545429	0.223801987228898	-0.0788710334615465	0.189121522788276	0.338835990705901	0.489736626666203	0.797536534045879	4429.2086461725	1.00003269772341
eta_[5]	-2.46161960388114	0.00480488265450493	0.213762594353957	-2.89764863619037	-2.59971094329292	-2.45767910015867	-2.31830063127288	-2.05331317898299	1979.23723160059	1.0009598649133
eta_[6]	-0.789764494827147	0.00187300155236654	0.211638189491345	-1.20638924736689	-0.930802742420649	-0.790025933224236	-0.647628028929428	-0.367715972887401	12767.6744512557	1.00016188603543
eta_[7]	-1.03950715213339	0.00212685148813356	0.216529462973957	-1.47313647349756	-1.18056432082687	-1.0363978167779	-0.892193840225872	-0.626605323237189	10364.7699374839	1.00033329608885
eta_[8]	-0.379880872009386	0.00194826487657801	0.209873081305448	-0.782172194839587	-0.520374468363579	-0.383150999218568	-0.23987278433881	0.0366397894685861	11604.2606536785	0.999813461214122
eta_[9]	-1.02615439653575	0.00226375557393228	0.216110340056449	-1.46308937432265	-1.16633297846916	-1.02481248489997	-0.883039950200921	-0.605191929959043	9113.64332999299	1.00004100358413
eta_[10]	0.393424869763721	0.00344146943592968	0.222981272167341	-0.0216085583480466	0.239314517010032	0.388868195710864	0.539875829748232	0.848252896589779	4198.06292551611	1.00000036296016
eta_[11]	-0.910797061449905	0.00201561038270998	0.214880508058191	-1.33899720483687	-1.05332755780099	-0.90669796222704	-0.765389552526501	-0.497090520691513	11365.2991312584	1.00016966451182
