	mean	se_mean	sd	X2.5.	X25.	X50.	X75.	X97.5.	n_eff	Rhat
mu_[1]	-2.71798365437633	0.00470619048768825	0.114271036657719	-2.94913003036635	-2.79360993242322	-2.71497991037149	-2.63775381594372	-2.51019333859107	589.567223366206	1.0033381301636
mu_[2]	-0.47	0	0	-0.47	-0.47	-0.47	-0.47	-0.47	2.00085751036151	0.999714244886293
bet_[1]	0.104646895731842	0.00156611735605472	0.0613231312074096	-0.0159163471693479	0.0631001781170184	0.104777449405281	0.146379664195164	0.224441548123209	1533.20433764981	1.00307855218933
bet_[2]	0.135182559786255	0.00180874511214572	0.0617236752292066	0.0144052204217617	0.0935244960414713	0.135834132546272	0.176971744133563	0.25442184063641	1164.5249933489	1.00380740166566
bet_[3]	-0.219868046566153	0.00172964184198647	0.0593855393468143	-0.337887302173102	-0.259953816548565	-0.219439701147011	-0.179428386622706	-0.10287715742213	1178.82420487043	1.00342422269554
kappa_[1]	-0.0186776105436835	0.0131372131214246	0.621638119232912	-1.34395573367022	-0.15971289819067	0.00227175563451549	0.161489708588058	1.13550483946465	2239.07574174726	1.00185214338848
kappa_[2]	0.997840645530835	0.0211237992221261	0.404511586002731	0.462355561145313	0.901533242102896	0.974446602124504	1.04978634211732	1.65907008588754	366.70587550059	1.00884828427093
lambda_[1]	0.721461329436624	0.019127220961269	0.976346114243312	0.120378247166517	0.235951761242295	0.390340761245567	0.783014433723002	3.48507656114895	2605.57665472441	1.00091264031416
lambda_[2]	0.341906106214979	0.0283765795995178	0.642258029920442	0.0413294360243859	0.0859217572294809	0.149758325176425	0.308480331649075	2.13107603635846	512.27008283761	1.00636067546597
psi_	0.500676588451161	0.00107363920840929	0.0278543094458353	0.449117532635778	0.481492428472427	0.499592035895604	0.518576067723586	0.557528204156546	673.082138259569	1.00323154039019
sigma_[1]	0.460219232042436	0.00181542780505726	0.0908802185034453	0.309267967874063	0.396353788650127	0.451117420747279	0.51450295772777	0.66439723786625	2505.99822746081	1.00111262328548
sigma_[2]	0.54179363917651	0.00128890267060636	0.0500742424969871	0.449524583868145	0.507295243005288	0.539859439855808	0.573557869056722	0.646544952180012	1509.34503080267	1.00233798513233
eta_[1]	0	NA	0	0	0	0	0	0	NA	NA
eta_[2]	-2.522879	0	0	-2.522879	-2.522879	-2.522879	-2.522879	-2.522879	2.00085751036151	0.999714244886293
eta_[3]	-1.38260887766351	0.00253621721748815	0.189109329735509	-1.78147239083715	-1.50563804510025	-1.37514267358134	-1.25140365706888	-1.0337849503782	5559.72124982552	1.00012443383659
eta_[4]	0.234069525623169	0.00244369625527523	0.170042680891202	-0.0924478780390853	0.117599928303214	0.231372677376041	0.346741045091569	0.573539305190528	4841.9627077607	1.00113017083868
eta_[5]	-2.43765574239906	0.0043051039406703	0.182957464393874	-2.80548637557677	-2.55968087895781	-2.43349799843393	-2.31396763924379	-2.08883979393755	1806.06336305783	1.00104137994717
eta_[6]	-0.969727794572229	0.00172077392986387	0.166120995394369	-1.29723061161551	-1.080336278447	-0.96886093642249	-0.858678059790588	-0.642734179897898	9319.68886775938	1.00033725343147
eta_[7]	-0.639694671560074	0.00149178474360665	0.164201678256802	-0.961721090083426	-0.750454078058709	-0.639362885019679	-0.53142706587057	-0.311590619769606	12115.5423643093	1.00032363330312
eta_[8]	0.0376384003753441	0.00210985329834639	0.166036601898535	-0.285492631086266	-0.0737084508824303	0.036401407882945	0.147069044034303	0.372716589033009	6193.02958683427	1.00032469328028
eta_[9]	-1.22961547080813	0.00212797403349662	0.176292156313208	-1.59002911505048	-1.34482747435722	-1.22594633760525	-1.11157491355365	-0.895778283545534	6863.30551040361	1.00012985002153
eta_[10]	-0.193215031198919	0.00177204046592617	0.167069405427523	-0.514421495004884	-0.305964313557981	-0.193345247582177	-0.0829177992837038	0.137402944383891	8888.87059659396	1.00026420609471
