	mean	se_mean	sd	X2.5.	X25.	X50.	X75.	X97.5.	n_eff	Rhat
mu_[1]	-2.71850850165855	0.00545623937677553	0.125557258450035	-2.98063914771299	-2.80049704304221	-2.71184077738559	-2.63000155223403	-2.49053758329848	529.537618088652	1.0053251655228
mu_[2]	-0.31	0	0	-0.31	-0.31	-0.31	-0.31	-0.31	2.00085751036151	0.999714244886293
bet_[1]	0.00984486294768354	0.00194505301805376	0.0709354693614929	-0.126318952222063	-0.0380526431117209	0.00890144696639947	0.0573881246895311	0.1505785384535	1330.03786717831	1.00399004054268
bet_[2]	-0.0888574073851229	0.00130454274270885	0.0425090952607898	-0.172636973522669	-0.116978775512917	-0.08841988740986	-0.0600654570264881	-0.00590523702327115	1061.81069970725	1.00467777572534
bet_[3]	-0.200823454776753	0.00124258555864677	0.0404277218491645	-0.279769037441628	-0.228200292771779	-0.200272981676614	-0.173731138931423	-0.121862977955964	1058.53673493205	1.00427275710834
kappa_[1]	-0.112253651054045	0.0108064942259961	0.399280219237501	-0.936143381394283	-0.192353250502661	-0.0995300949963856	-0.00416011648747147	0.587333743686599	1365.16749523095	1.00117188186841
kappa_[2]	0.744003709417632	0.014018699320505	0.595793705125198	-0.196714618192945	0.580470244554511	0.714860158390981	0.857866533093626	1.96289626389516	1806.24383968463	1.00147283478798
lambda_[1]	0.434374756050414	0.015680992089638	0.668880245525109	0.0591474009765504	0.125676248450706	0.218880501954243	0.442251217719002	2.37491810150286	1819.4899798266	1.00100282711421
lambda_[2]	0.632141980387329	0.0184374033513323	0.835249372943076	0.11081211011758	0.210948937613392	0.350461611353735	0.681558248086235	3.06290908647566	2052.26199648761	1.00148498151515
psi_	0.531629000225665	0.00123477345374647	0.031597848199755	0.474764261323928	0.509260523866899	0.53031253279739	0.552488633502101	0.597124299517023	654.847914241922	1.00647963233904
sigma_[1]	0.593550839646558	0.00285122662484813	0.13504601873251	0.344912824852191	0.499261075989232	0.589666005362837	0.681619146871916	0.873681464493069	2243.36580131397	1.00088685080557
sigma_[2]	0.605181243184727	0.00182671773451134	0.0638329468856399	0.487732645837991	0.560925175779731	0.602139319505111	0.646816019216452	0.738924663588578	1221.08781776544	1.00328248118392
eta_[1]	0	NA	0	0	0	0	0	0	NA	NA
eta_[2]	-2.522879	0	0	-2.522879	-2.522879	-2.522879	-2.522879	-2.522879	2.00085751036151	0.999714244886293
eta_[3]	-1.27637045664726	0.00255203693246907	0.196426905210043	-1.679241059214	-1.40381826831074	-1.2712138825228	-1.14172492661737	-0.909363518842211	5924.17717053269	1.00020273368815
eta_[4]	0.295960443762417	0.00273466431655604	0.184019716287285	-0.0536545648482476	0.169807976476932	0.292986898514961	0.41529671783392	0.670967928758247	4528.14855251352	1.00066559580523
eta_[5]	-2.47913258062068	0.00481614433579349	0.205428428620264	-2.90357387706204	-2.61350157388232	-2.47263428561085	-2.33817220614547	-2.09375504055385	1819.374487623	1.00191235271633
eta_[6]	-0.811517521572173	0.00182456661092482	0.180363986017675	-1.16272114912948	-0.933093732264882	-0.811788430592472	-0.690454017592757	-0.458310482102731	9771.9267512094	0.999949645937403
eta_[7]	-0.680349901818149	0.00179635452779543	0.179338087390845	-1.03237075318911	-0.802205581465697	-0.677950854773606	-0.558968326873788	-0.327285734029704	9966.91975249124	0.999981503780912
eta_[8]	-0.0739147350479778	0.00225311312938943	0.179719922903057	-0.421649445992317	-0.194804975352913	-0.0768947906553284	0.0483852100599699	0.284449659553805	6362.48029945358	1.00008986150937
eta_[9]	-0.901994061267071	0.00189119334613262	0.178151931103344	-1.25469296005237	-1.02040355501898	-0.89885550769609	-0.783366037954246	-0.555318137028582	8873.79121306153	1.00008119011221
eta_[10]	0.0961044782000629	0.00254006117694152	0.184627880168158	-0.259616019127068	-0.0276170788669547	0.0921970783187732	0.217215791642025	0.471159770699632	5283.3114536066	1.00087225164095
eta_[11]	-1.12681835959513	0.00220607679388612	0.188342060796006	-1.50802046169141	-1.25165474711665	-1.1215702617944	-0.999183121229505	-0.766338124840234	7288.75552558967	1.00017645686
eta_[12]	0.0477895517955134	0.00234737852293176	0.18156496276711	-0.296353703244995	-0.0756055903687404	0.0452963610828002	0.168406097087604	0.411540143568799	5982.70841018479	1.00065571054859
eta_[13]	-0.395312010285715	0.0018137213874409	0.177999630859087	-0.740612264903957	-0.513492671527646	-0.396718117080762	-0.275732891705609	-0.0417777378180312	9631.56932357931	0.999935771818303
eta_[14]	-0.805788162226292	0.00193922381298471	0.17951186137631	-1.16406934855177	-0.924968270107765	-0.806150185115782	-0.686276795449116	-0.453818954866033	8569.00565358402	1.00007070666991
eta_[15]	-0.191964691037304	0.0021074622520177	0.180038632697681	-0.540328358311032	-0.313824874602672	-0.193470544522834	-0.0746589542344903	0.169470424780512	7298.13349607301	1.0002818676006
eta_[16]	-0.0944334217765011	0.00237379306316307	0.18228642797348	-0.444428713202415	-0.216903611450188	-0.0975321634383403	0.0258121419216981	0.271102981567092	5896.88905099928	1.0004880554695
eta_[17]	-0.537159621710249	0.00177724062854134	0.176971176612874	-0.881689817382001	-0.657716470883979	-0.538403267766838	-0.416717252728831	-0.190561319306103	9915.45415782776	0.999986475613014
eta_[18]	-0.145750016517708	0.00205138171586726	0.179776693367843	-0.491356064537395	-0.26763007812968	-0.148081373043397	-0.0262157592097984	0.212401887597035	7680.2227446948	1.00014142192408
eta_[19]	-0.249227804167464	0.00195067377925758	0.145031887880288	-0.527011951233722	-0.347926882088092	-0.25038244855683	-0.153193471177532	0.0434118720387778	5527.86855916089	1.00060270285073
eta_[20]	-0.159437424047348	0.0021053148643599	0.179870347018342	-0.507444433799543	-0.280818130230514	-0.159032167050405	-0.0391677791354523	0.196710107769766	7299.36417179111	1.00082846436413
